Título,Tema,idioma,FechaModificación,URL
Programas elecciones España 10-N 2019,Redes sociales,Español,10/11/2019,https://www.kaggle.com/datashyends/programas10n
Raman spectroscopy of Diabetes,Tecnología,Español,14/05/2019,https://www.kaggle.com/codina/raman-spectroscopy-of-diabetes
Transcripción de telediarios,Globalización,Español,09/02/2021,https://www.kaggle.com/datamarket/transcripcin-de-telediarios
Abecedario Lenguaje de Señas Chileno Español,Inteligencia artificial,Español,10/06/2019,https://www.kaggle.com/bpablo27/abecedario-lenguaje-de-seas-chilenoespaol
Donación de Órganos en México,Procesamiento del lenguaje,Español,27/10/2019,https://www.kaggle.com/joshdoit/master
